"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
-2,3.775,5,100,100,-2,3.775,5
-1,3.775,5,100,100,-1,3.775,5
0,3.775,5,100,100,0,3.775,5
1,3.775,5,100,100,1,3.775,5
2,3.775,5,100,100,2,3.775,5
-2,5,5,100,100,-2,5,5
-1,5,5,100,100,-1,5,5
0,5,5,100,100,0,5,5
1,5,5,100,100,1,5,5
2,5,5,100,100,2,5,5
-2,0.1,6.25,100,100,-2,0.1,6.25
-1,0.1,6.25,100,100,-0.999992881668857,0.100006406498021,6.24999595549365
0,0.1,6.25,100,100,-0.00988809525259711,0.00862605954897495,6.5181368844164
1,0.1,6.25,100,100,0.999999702557389,0.0999997009768863,6.24999977670876
2,0.1,6.25,100,100,2.00000107366681,0.0999999858356015,6.24999916103804
-2,1.325,6.25,100,100,-2.15665016637507,1.29905481619413,8.08574413720783
-1,1.325,6.25,100,100,-0.999578346397192,1.32533253136403,6.24976042408931
0,1.325,6.25,100,100,0.0707073880648385,1.38621418605868,6.91437208348874
1,1.325,6.25,100,100,0.998758615591712,1.32485046960537,6.24929466794984
2,1.325,6.25,100,100,2.00027485557774,1.32529804651711,6.24978526907989
-2,2.55,6.25,100,100,-2.0000016131306,2.55000150222788,6.25001890387424
-1,2.55,6.25,100,100,-0.999998009439556,2.5499995385519,6.25001696500378
0,2.55,6.25,100,100,0.00277024920550018,2.54929218026682,6.27597977165843
