"","x"
"921",-18.3536817959489
"922",-18.5079993197572
"923",-18.6847830711298
"924",-18.9151515790117
"925",-15.3950643761119
"926",-15.4024251700589
"927",-15.4347766666731
"928",-15.4699387916641
"929",-15.5311873223332
"930",-15.5982796008512
"931",-15.6816063192763
"932",-15.8134055366668
"933",-15.9275693265016
"934",-16.0895295364493
"935",-16.2799961752823
"936",-15.3800612399983
"937",-15.3900458965028
"938",-15.4138812355304
"939",-15.4527998230391
"940",-15.512766495115
"941",-15.5736558147095
"942",-15.659165822109
"943",-15.8066357557347
"944",-15.9284625599877
"945",-16.0835896211497
"946",-16.2301123704816
"947",-15.3672400998235
"948",-15.3758269486552
"949",-15.4028040607434
"950",-15.4375642816249
"951",-15.496332711934
"952",-15.5697884274198
"953",-15.6611862544707
"954",-15.7862123915514
"955",-15.8969830443446
"956",-16.0204975309334
"957",-16.2189647035985
"958",-15.3564127807788
"959",-15.3637526526113
"960",-15.3917365845486
"961",-15.4265627572522
"962",-15.4869210216547
"963",-15.5686123110505
"964",-15.6764451711842
"965",-15.7652824435807
"966",-15.8952169179593
"967",-16.0626714953634
"968",-16.2211139796803
"969",-15.3474146386775
"970",-15.3549452394149
"971",-15.3797568965936
"972",-15.4243002794598
"973",-15.488126064582
"974",-15.5542188741821
"975",-15.6563947657922
"976",-15.7578882728105
"977",-15.8871525251093
"978",-16.0375345394878
"979",-16.1725782160867
"980",-15.3401007936002
"981",-15.3479757350139
"982",-15.3722868078078
"983",-15.4131631161136
"984",-15.4710819580628
"985",-15.536500447396
"986",-15.6269108800185
"987",-15.7411333816326
"988",-15.8979416371999
"989",-15.9825430006462
"990",-16.15840403073
"991",-15.3343430881982
"992",-15.3422922148187
"993",-15.3656209303429
"994",-15.4105384460913
"995",-15.4671319892557
"996",-15.5438719604017
"997",-15.6288341141602
"998",-15.7493908913309
"999",-15.8764388230605
"1000",-15.9836442545068
"1001",-16.184269329338
"1002",-15.3300276095248
"1003",-15.3392484922593
"1004",-15.363142305365
"1005",-15.3999218085669
"1006",-15.4646106097872
"1007",-15.5404727621005
"1008",-15.6546876508719
"1009",-15.7175513677701
"1010",-15.8779554629001
"1011",-16.0440233489485
"1012",-16.1683474248208
"1013",-15.3270526535735
"1014",-15.3350234077472
"1015",-15.3585442602329
"1016",-15.4051025024412
"1017",-15.4562615456596
"1018",-15.5323549033796
"1019",-15.6049279042406
"1020",-15.7541108426378
"1021",-15.8978268541933
"1022",-16.0132952502345
"1023",-16.1559414902641
"1024",-15.3253270408855
"1025",-15.3337403157838
"1026",-15.3584618267513
"1027",-15.3982965094184
"1028",-15.454345005628
"1029",-15.5516082003217
"1030",-15.6042740691945
"1031",-15.7326440510389
"1032",-15.8274220940919
"1033",-16.004471379433
"1034",-16.1932346320719
"1035",-15.3247687129797
"1036",-15.3327188125763
"1037",-15.3569281054218
"1038",-15.3964257561624
"1039",-15.4497244691983
"1040",-15.5300168821284
"1041",-15.6144119191047
"1042",-15.7336877152332
"1043",-15.8516090442762
"1044",-16.0034672729321
"1045",-16.1615838177276
"1046",-15.3253035552322
"1047",-15.3336968347571
"1048",-15.3571406619264
"1049",-15.394915427037
"1050",-15.4536134275102
"1051",-15.5376487958137
"1052",-15.6155782491886
"1053",-15.7346755469974
"1054",-15.8784366970462
"1055",-16.0253823774737
"1056",-16.1890213038043
"1057",-15.3268644037293
"1058",-15.3351872058271
"1059",-15.360221064047
"1060",-15.4049233773744
"1061",-15.4528943587639
"1062",-15.5341873091561
"1063",-15.6271583534778
"1064",-15.7168586892175
"1065",-15.8402207407992
"1066",-15.9887141378745
"1067",-16.2083340631243
"1068",-15.3293902026345
"1069",-15.3378579248118
"1070",-15.3634788141709
"1071",-15.401138967197
"1072",-15.4664298905048
"1073",-15.5318668392275
"1074",-15.6308637965318
"1075",-15.7242122029196
"1076",-15.8434687520204
"1077",-16.0109364131294
"1078",-16.1872629177831
"1079",-15.3328252854981
"1080",-15.3411967849076
"1081",-15.3656453855345
"1082",-15.4028689499005
"1083",-15.4690144829475
"1084",-15.5295334509144
"1085",-15.6423915734375
"1086",-15.7436417628723
"1087",-15.8689348939359
"1088",-16.0145778403242
"1089",-16.1899157452749
"1090",-15.3371187592585
"1091",-15.345266215803
"1092",-15.3718020224293
"1093",-15.4100837740117
"1094",-15.4695886343355
"1095",-15.5352999004258
"1096",-15.6324619805901
"1097",-15.7392083415385
"1098",-15.8754597520583
"1099",-16.0552093122193
"1100",-16.1777182493275
"1101",-15.342223973813
"1102",-15.3503654734669
"1103",-15.3753265449177
"1104",-15.4158992624997
"1105",-15.4708920329262
"1106",-15.5461723944815
"1107",-15.6386357776015
"1108",-15.7219950720571
"1109",-15.8567870585142
"1110",-16.0288788951133
"1111",-16.1832139446773
"1112",-15.3480980632812
"1113",-15.3556709384155
"1114",-15.3817584561249
"1115",-15.4188639839614
"1116",-15.4807805344126
"1117",-15.5448378165864
"1118",-15.6427257763578
"1119",-15.7409811592459
"1120",-15.8698007404941
"1121",-15.989944176577
"1122",-16.1881459093521
"1123",-15.3547015476364
"1124",-15.363135840949
"1125",-15.3878068098733
"1126",-15.4283530933373
"1127",-15.4899156132023
"1128",-15.5702406013464
"1129",-15.649287505846
"1130",-15.7699840813803
"1131",-15.8807906412906
"1132",-16.0174220824696
"1133",-16.1837096491079
"1134",-15.3619979854173
"1135",-15.3707159640129
"1136",-15.3933733453526
"1137",-15.4446399558785
"1138",-15.4932831740726
"1139",-15.5581315432742
"1140",-15.6715509439585
"1141",-15.7737900174521
"1142",-15.8758421702935
"1143",-16.0645901338586
"1144",-16.2126107702063
"1145",-15.3699536698563
"1146",-15.3784530366387
"1147",-15.4027331862037
"1148",-15.4498814839846
"1149",-15.5033847324335
"1150",-15.5665284020234
"1151",-15.6673006642169
"1152",-15.7665437409036
"1153",-15.8898879812329
"1154",-16.0297652728399
"1155",-16.1943436622579
"1156",-12.9394684556612
"1157",-12.9471010924981
"1158",-12.9632097553902
"1159",-13.0034105679138
